user_id,age,employment_type,employment_length_years,annual_income,income_stability_score,loan_amount,loan_term_months,interest_rate,loan_type,emi,total_existing_loans,total_debt,debt_to_income_ratio,credit_score,credit_utilization_ratio,emi_to_income_ratio,loan_to_income_ratio,num_credit_inquiries,late_payment_count,default_history,repayment_history_score,credit_history_length_years,job_stability_score,spending_to_income_ratio,loan_status
1,59,salaried,18,200000.0,85.0,175387.43374627444,60,8.198239303970533,education,3572.8878093753137,2,204759.69183943488,1.0237984591971743,755.1371308519599,0.3537964765351733,0.21437326856251882,0.8769371687313722,3,0,0,82.31017617324133,22,90.0,0.675222497803698,0
2,49,self-employed,3,289124.2482199764,27.5,194435.02417043556,48,9.811462264190748,personal,4913.788233257213,2,239490.96922111866,0.8283323543271442,739.3943054193242,0.6283502648750381,0.2039450484077816,0.6724964279803409,2,3,0,38.582486756248095,4,15.0,0.29079316654327336,0
3,35,salaried,3,200000.0,47.5,122620.31419198791,36,9.658658236806687,education,3936.9908679077957,2,167157.76692243348,0.8357888346121675,716.3416614121944,0.31047261639341,0.23621945207446773,0.6131015709599396,6,6,1,24.4763691803295,3,15.0,0.6350739858311643,1
4,28,unemployed,0,200000.0,20.0,249992.8237073048,36,11.239522578948058,auto,8212.829936224985,3,271954.77815947286,1.3597738907973642,699.4059751485597,0.2199342840613498,0.4927697961734991,1.249964118536524,1,0,0,89.00328579693252,1,10.0,0.4721538702939967,1
5,41,salaried,2,253596.80955759078,45.0,309077.838183528,60,12.9048793859355,auto,7017.42981014262,2,510980.6956270224,2.0149334548744817,598.5441776773589,0.5137003437451035,0.3320592158419402,1.21877652452618,1,0,0,74.31498281274483,4,10.0,0.6641458460778659,1
6,59,salaried,5,228993.80099007147,52.5,119002.00446862273,60,8.908390803929171,education,2464.998313479271,0,211605.6726930725,0.9240672532539304,720.3354559313399,0.26650915377424533,0.1291737140213405,0.5196734756753626,3,2,0,66.67454231128774,6,25.0,0.36783485313105824,0
7,39,self-employed,4,214922.85223541065,30.0,574893.3206200063,300,10.92903015402116,home,5605.132518734217,1,657806.6033066539,3.0606638450253816,690.32819781318,0.20619011177859248,0.3129569030246128,2.6748822409555153,1,2,0,69.69049441107038,4,20.0,0.3408259879495955,1
8,43,salaried,10,200000.0,65.0,146998.62041107938,36,9.490926267946929,education,4708.1759405723815,4,249127.94602705946,1.2456397301352973,840.181527597953,0.30148394829414227,0.28249055643434284,0.7349931020553969,3,3,0,54.925802585292885,13,50.0,0.5578334590382558,0
9,31,unemployed,0,200000.0,20.0,941669.1137456677,240,12.25241012759244,home,10534.769336553121,2,1081402.9880051878,5.407014940025939,576.5367121668303,0.6028746400254844,0.6320861601931872,4.708345568728339,0,1,0,59.856267998725784,4,10.0,0.5218501838302024,1
10,31,salaried,8,262029.40897558976,60.0,1119358.915725481,300,11.062591565628821,home,11021.67242770126,5,1267230.223770966,4.836213723967981,622.1363689688561,0.1684913429961125,0.5047527666817593,4.271882763471632,6,1,0,81.57543285019437,11,40.0,0.7655332980498452,1
11,44,self-employed,2,207323.3057486331,25.0,591434.9646833389,120,13.625333322730503,home,9050.235397020107,2,643212.4074762476,3.102460696126964,553.0684354306268,0.36707140170597485,0.52383317144246,2.8527181859641857,2,1,0,71.64642991470126,5,10.0,0.6738407470022278,1
12,56,self-employed,8,200000.0,40.0,73200.7984426547,24,11.020251752804496,personal,3412.419270809195,4,197499.46792247536,0.9874973396123768,662.5584166586344,0.21545899567624863,0.2047451562485517,0.3660039922132735,2,1,0,79.22705021618756,10,40.0,0.422573132797593,0
13,44,unemployed,0,200000.0,20.0,966789.0171674717,240,12.027482463770381,home,10663.70915734204,0,1006389.4081754063,5.031947040877031,540.7280505603605,0.4652198533640902,0.6398225494405224,4.8339450858373585,2,1,0,66.73900733179549,3,10.0,0.3872270399234498,1
14,23,unemployed,0,200000.0,20.0,194767.13096521067,36,8.489381187875704,education,6147.360405610575,3,334674.8680730738,1.673374340365369,774.8401308934862,0.2524014051093984,0.3688416243366345,0.9738356548260534,1,1,0,77.37992974453007,4,10.0,0.31191578350484733,1
15,42,self-employed,11,494526.20064432855,47.5,714509.0605930944,48,9.337169284626052,auto,17895.200878729476,4,1017691.9716355434,2.057913150626946,767.3789847096134,0.47124097015947675,0.43423869203484333,1.4448356015558845,2,1,0,66.43795149202616,13,55.00000000000001,0.4354816119742388,1
16,22,self-employed,2,200000.0,25.0,203931.62928345855,48,11.86839914998589,auto,5357.134399865926,1,355105.0361755347,1.7755251808776735,667.2294417287485,0.2582663356931946,0.3214280639919555,1.0196581464172927,3,0,0,87.08668321534027,3,10.0,0.3946777753291179,1
17,44,salaried,19,200000.0,87.5,277311.89495309367,48,13.78749616973695,auto,7548.429080830556,1,419827.6018920869,2.0991380094604346,598.9022569415705,0.3211727092115201,0.4529057448498333,1.3865594747654684,3,2,0,63.941364539424,20,95.0,0.43067890397935404,1
18,50,salaried,16,200000.0,80.0,43534.14403663999,24,13.645409839046803,personal,2082.9146314494596,3,121343.99329509294,0.6067199664754647,558.0717961152592,0.29702582878302797,0.12497487788696757,0.21767072018319997,5,1,0,75.1487085608486,19,80.0,0.5734013398808395,0
19,58,self-employed,11,236746.83987813938,47.5,169674.3940411908,36,11.900328326577183,personal,5627.54392840377,3,341541.69930715935,1.442645230166371,623.6908308287675,0.47332910517746773,0.28524362637999817,0.7166912729586052,1,0,0,76.33354474112662,15,55.00000000000001,0.42821794819454384,1
20,22,unemployed,0,200000.0,20.0,97138.09881216721,12,8.559835710937264,personal,8475.055469239342,2,230510.89863619723,1.1525544931809861,730.0297097872664,0.3491815057611082,0.5085033281543605,0.4856904940608361,1,1,0,72.5409247119446,1,10.0,0.45444256512182835,0
21,41,self-employed,17,200000.0,62.5,133783.28018899818,12,10.024795358134266,personal,11763.218632876338,3,216398.89115066826,1.0819944557533414,617.0357848008106,0.2909498385519755,0.7057931179725803,0.6689164009449909,4,0,0,85.45250807240123,21,85.0,0.2180967765808578,1
22,53,unemployed,0,200000.0,20.0,101116.58191748636,48,8.708749191756514,auto,2502.3296805800614,3,218404.03773478634,1.0920201886739318,832.6860940805375,0.24746018393789798,0.15013978083480367,0.5055829095874318,1,0,0,87.6269908031051,1,10.0,0.5424443686142586,0
23,32,self-employed,3,685980.0466765969,27.5,622864.7711850166,36,9.154022003853862,education,19851.61272167956,2,771436.9673018178,1.124576394079155,799.255635191852,0.23375594860142246,0.3472686323957503,0.9079925490583026,1,3,0,58.31220256992888,6,15.0,0.3910007610267082,0
24,42,salaried,9,200000.0,62.5,111397.55468570496,48,10.632932000287406,personal,2859.3107195443586,3,206203.44710120116,1.0310172355060059,680.065915472355,0.12914388873133106,0.1715586431726615,0.5569877734285248,10,2,0,73.54280556343345,10,45.0,0.5481619942618171,0
25,45,salaried,17,200000.0,82.5,68827.64779026592,24,10.08840751709169,personal,3178.855941159806,4,96334.5921611172,0.48167296080558597,643.0505395838493,0.4607239453,0.19073135646958836,0.3441382389513296,2,0,0,76.963802735,17,85.0,0.252836857164375,0
26,47,salaried,7,200000.0,57.5,81697.96653226006,12,11.014373983033407,personal,7221.149556652176,1,159223.89363173908,0.7961194681586954,634.4643280202839,0.1963637084303735,0.43326897339913056,0.4084898326613003,7,3,0,60.18181457848132,7,35.0,0.41147780350947083,1
27,48,salaried,8,200000.0,60.0,64079.93043174781,12,8.399392721973388,personal,5586.052808551791,2,172015.24976163177,0.8600762488081588,807.8701408420808,0.3753831876377845,0.3351631685131074,0.32039965215873906,4,1,0,71.23084061811078,8,40.0,0.7814377862324949,0
28,36,salaried,18,326721.36897784466,85.0,1208092.4587776356,300,11.455142554278998,home,12240.279559884033,1,1384273.7862345674,4.236863326587116,627.4643734754168,0.42598042147476234,0.4495676397847388,3.6976230313835323,5,1,0,68.70097892626188,21,90.0,0.4911042970109289,1
29,35,unemployed,0,200000.0,20.0,79600.72375366281,12,8.178403152893233,personal,6930.909705932439,2,151453.68986412772,0.7572684493206386,754.7495162186689,0.05,0.4158545823559463,0.398003618768314,1,1,0,87.5,1,10.0,0.3755153739341013,0
30,23,self-employed,12,200000.0,50.0,104140.38124624136,36,11.916251560120207,personal,3454.7867603924005,2,136483.1293113759,0.6824156465568795,681.7433770454643,0.5113552546301461,0.20728720562354402,0.5207019062312068,3,3,0,44.4322372684927,14,60.0,0.4650299422400421,0
31,57,salaried,5,200000.0,52.5,174069.82186500984,60,9.75336095821978,education,3677.380222149251,1,283807.08434943325,1.4190354217471663,737.0849771139341,0.05,0.22064281332895505,0.8703491093250492,11,1,0,87.5,8,25.0,0.5103638612765531,1
