,count,unique,top,freq,mean,std,min,25%,50%,75%,max
user_id,10000.0,,,,5000.5,2886.8956799071675,1.0,2500.75,5000.5,7500.25,10000.0
age,10000.0,,,,40.0626,11.179086654903601,21.0,31.0,40.0,50.0,59.0
employment_type,10000,3,salaried,6044,,,,,,,
employment_length_years,10000.0,,,,8.5884,6.105482219392105,0.0,3.0,8.0,14.0,19.0
annual_income,10000.0,,,,260727.706980721,134709.27599920696,200000.0,200000.0,200000.0,261216.34510808927,2156802.051416144
income_stability_score,10000.0,,,,53.559,19.565097707520668,20.0,40.0,55.0,67.5,87.5
loan_amount,10000.0,,,,342324.61874730623,456280.6906183639,40123.256028351985,110432.56974589279,165472.41799656456,339246.55678304774,8435909.674072446
loan_term_months,10000.0,,,,74.6472,74.95346112284228,12.0,36.0,48.0,84.0,300.0
interest_rate,10000.0,,,,10.511546350350638,1.5292065687487661,8.000522505885895,9.237293258485586,10.45171950154096,11.595830950033946,13.999246432388867
loan_type,10000,4,personal,4047,,,,,,,
emi,10000.0,,,,6964.894340710586,5826.786455589843,948.2344093232437,3373.896105360438,5368.273301837492,8724.120779420833,102573.77291312888
total_existing_loans,10000.0,,,,1.9861,1.3947405924156697,0.0,1.0,2.0,3.0,12.0
total_debt,10000.0,,,,458356.2808582509,484900.3293808929,62860.65705956066,200766.40548869272,276791.2447828823,517876.8640636985,9003622.65199825
debt_to_income_ratio,10000.0,,,,1.7550513228568616,1.4506030999417987,0.3053019222855385,0.9057375763542408,1.1913128295980524,1.6994630504301889,6.716881232584276
credit_score,10000.0,,,,679.697797095086,79.59691143156529,347.3812898080695,625.9337857355961,680.8957331260186,735.2665695497228,850.0
credit_utilization_ratio,10000.0,,,,0.28575355996747887,0.15763400753664725,0.05,0.16157815239650072,0.2635053716750557,0.38870359922448733,0.8475133915010836
emi_to_income_ratio,10000.0,,,,0.3208758878779474,0.18980347542370235,0.0568940645593946,0.17727786857243863,0.27056495846115647,0.4177270451605547,1.060203826592698
loan_to_income_ratio,10000.0,,,,1.3091146513676732,1.436915750373259,0.2000281218749639,0.4915823527577581,0.7074016711292143,1.2206824163556327,5.997390366295554
num_credit_inquiries,10000.0,,,,3.0349,1.739880659261102,0.0,2.0,3.0,4.0,11.0
late_payment_count,10000.0,,,,1.5193,1.2179391805770756,0.0,1.0,1.0,2.0,7.0
default_history,10000.0,,,,0.0647,0.24600805270600315,0.0,0.0,0.0,0.0,1.0
repayment_history_score,10000.0,,,,70.52830976373515,14.469846295296993,20.0,61.697015631191476,71.84454460378342,81.3922681096764,97.5
credit_history_length_years,10000.0,,,,10.6211,6.220772025276207,1.0,5.0,11.0,16.0,23.0
job_stability_score,10000.0,,,,44.5345,28.4523595405784,10.0,15.0,40.0,70.0,95.0
spending_to_income_ratio,10000.0,,,,0.5014609554710329,0.1487620863783718,0.1,0.4000759598472956,0.5033287634640701,0.6024947324701574,0.9
loan_status,10000.0,,,,0.5749,0.49438287939930153,0.0,0.0,1.0,1.0,1.0
